# plate_id ha_min ha_max completion_factor
8077   0.       26.80395   4.2
8078   0.       26.80395   4.2
8133 -43.95016737   5.           4.2
8141 -43.94854794   5.           4.2
8147 -41.07787096   5.           4.2
8149 -41.21357998   5.           4.2
8153   0.       26.80395   4.2
8555  -5.          43.94667149   4.2
8600  -5.          43.88780731   4.2
8610  -5.          39.24783053   4.2
8611  -5.          39.02782843   4.2
8625  -5.          41.63685267   4.2
8626  -5.          41.61183788   4.2
8939 -40.42265494   5.           4.2
8940 -40.86894693   5.           4.2
8942 -41.37574842   5.           4.2
8978  -5.          43.85591781   4.2
8979  -5.          43.83415115   4.2
9026  -5.         43.9564325   4.2
9029  -5.          43.87912396   4.2
9031  -5.          43.96501185   4.2
9509 -40.90664558   5.           4.2
