# manga_tileid n_ancillaries ancillary_weight
6001 2 0.599133931333127
6002 2 0.77514068999266
6003 0 1
6004 2 3.92929292929293
6005 0 1
6006 0 1
6007 0 1
6008 1 1.13636363636364
6009 0 1
6010 0 1
6011 0 1
6012 1 1.11940298507463
6013 0 1
6014 0 1
6015 2 1.24747474747475
6016 0 1
6017 0 1
6018 0 1
6019 2 1.73230621088108
6020 2 1.37002341920375
6021 1 1.61290322580645
6022 0 1
6023 0 1
6024 0 1
6025 1 0.655737704918033
6026 0 1
6027 0 1
6028 0 1
6029 0 1
6030 0 1
6031 1 1.66666666666667
6032 1 1.66666666666667
6033 1 1.66666666666667
6034 0 1
6035 0 1
6036 3 4.90249095167128
6037 0 1
6038 1 1.84782608695652
6039 0 1
6040 0 1
6041 0 1
6042 0 1
6043 1 1.11940298507463
6044 0 1
6045 0 1
6046 1 0.655737704918033
6047 1 1.84782608695652
6048 1 1.61290322580645
6049 0 1
6050 4 2.73307876609763
6051 1 1.11940298507463
6052 1 1.13636363636364
6053 0 1
6054 2 1.55629945222155
6055 2 1.55629945222155
6056 3 1.37516960651289
6057 1 4.42857142857143
6058 1 1.25
6059 0 1
6060 0 1
6061 2 1.23051409618574
6062 0 1
6063 0 1
6064 2 2.2258064516129
6065 0 1
6066 0 1
6067 1 1.61290322580645
6068 2 2.56493506493506
6069 0 1
6070 1 1.11111111111111
6071 1 0.943396226415094
6072 1 1.5
6073 0 1
6074 0 1
6075 2 1.50356379187455
6076 0 1
6077 3 1.92758594973525
6078 3 0.966848816029144
6079 3 4.60940413155343
6080 1 1.11111111111111
6081 0 1
6082 0 1
6083 1 1.66666666666667
6084 0 1
6085 2 1.33636363636364
6086 2 1.14339622641509
6087 0 1
6088 1 1.2
6089 0 1
6090 4 2.57213930348259
6091 0 1
6092 0 1
6093 3 2.68433805000969
6094 1 1.25
6095 0 1
6096 2 1.96722907203115
6097 1 1.66666666666667
6098 2 0.792101341281669
6099 1 1.25
6100 2 1.77777777777778
6101 0 1
6102 1 1.11111111111111
6103 0 1
6104 0 1
6105 1 1.71428571428571
6106 0 1
6107 0 1
6108 0 1
6109 1 1.2
6110 0 1
6111 1 1.13636363636364
6112 0 1
6113 0 1
6114 0 1
6115 0 1
6116 0 1
6117 0 1
6118 0 1
6119 1 1.5
6120 0 1
6121 2 1.36111111111111
6122 0 1
6123 0 1
6124 1 0.655737704918033
6125 0 1
6126 0 1
6127 2 2.37196765498652
6128 2 1.8030303030303
6129 3 0.894543675067286
6130 1 0.655737704918033
6131 0 1
6132 1 0.655737704918033
6133 2 2.69565217391304
6134 0 1
6135 0 1
6136 0 1
6137 1 1.84782608695652
6138 0 1
