    MJD         APOGEE_0        APOGEE_1         MaNGA_0         MaNGA_1         eBOSS_0         eBOSS_1  
  56889             -1.0            -1.0   2.99277777778   7.88944444444   7.95916666667   11.2602777778  
  56890             -1.0            -1.0   2.94722222222   7.85388888889   7.95361111111   11.2544444444  
  56891             -1.0            -1.0   2.92166666667   7.83805555556   7.94777777778   11.2488888889  
  56892             -1.0            -1.0   2.90583333333          7.8225   7.95222222222   11.2530555556  
  56893             -1.0            -1.0   2.86027777778   8.06611111111   7.94638888889         11.2475  
  56894             -1.0            -1.0   2.84472222222   8.05055555556   7.95083333333   11.2516666667  
  56895             -1.0            -1.0   2.80916666667   8.01472222222           7.945   11.2458333333  
  56896             -1.0            -1.0   2.78333333333   7.99916666667   7.94916666667   11.2502777778  
  56897             -1.0            -1.0   2.76777777778   7.98361111111   7.94361111111   11.2444444444  
  56898             -1.0            -1.0   2.73222222222   7.94777777778   7.93777777778   11.2388888889  
  56899             -1.0            -1.0   2.71638888889   7.93222222222   7.94222222222   11.2430555556  
  56900             -1.0            -1.0   2.68083333333   7.89666666667   7.93638888889         11.2375  
  56901             -1.0            -1.0   2.66527777778   7.88083333333   7.94083333333   11.2416666667  
  56902    2.11111111111   5.55166666667            -1.0            -1.0   5.94055555556   11.4355555556  
  56903    2.08527777778          6.7825            -1.0            -1.0          6.8025   11.4797222222  
  56904    2.04972222222   8.00333333333            -1.0            -1.0   7.78416666667   11.6336111111  
  56905    2.02416666667   9.23444444444            -1.0            -1.0   8.81555555556   11.5680555556  
  56906    1.98861111111   11.7019444444            -1.0            -1.0            -1.0            -1.0  
  56907    1.96277777778   11.6861111111            -1.0            -1.0            -1.0            -1.0  
  56908    1.93722222222   11.6705555556            -1.0            -1.0            -1.0            -1.0  
  56909    1.90166666667          11.635            -1.0            -1.0            -1.0            -1.0  
  56910             -1.0            -1.0            -1.0            -1.0            -1.0            -1.0  
  56911    1.87027777778   11.6036111111            -1.0            -1.0            -1.0            -1.0  
  56912    1.83472222222   11.5680555556            -1.0            -1.0            -1.0            -1.0  
  56913    1.80888888889   11.5522222222            -1.0            -1.0            -1.0            -1.0  
  56914            4.835   12.0852777778   2.34194444444   4.53583333333            -1.0            -1.0  
  56915    5.61722222222   11.6208333333   2.32611111111   5.34805555556            -1.0            -1.0  
  56916    6.41916666667   12.4127777778   2.29055555556            6.14            -1.0            -1.0  
